Date,Open,High,Low,Close,Adj Close,Volume
2021-01-14,4.000000,4.120000,4.000000,4.070000,4.070000,8900
2021-01-15,4.010000,4.010000,3.880000,3.880000,3.880000,3300
2021-01-19,4.010000,4.080000,4.010000,4.060000,4.060000,1500
2021-01-20,4.100000,4.130000,3.950000,4.030000,4.030000,2700
2021-01-21,4.080000,4.080000,4.060000,4.060000,4.060000,700
2021-01-22,4.070000,4.070000,4.070000,4.070000,4.070000,200
2021-01-25,4.100000,4.100000,4.060000,4.100000,4.100000,2000
2021-01-26,4.040000,4.110000,4.040000,4.110000,4.110000,18100
2021-01-27,4.140000,4.140000,4.020000,4.100000,4.100000,51100
2021-01-28,3.980000,4.080000,3.900000,4.080000,4.080000,3900
2021-01-29,4.100000,4.100000,3.910000,3.970000,3.970000,62200
2021-02-01,4.180000,4.180000,3.990000,4.010000,4.010000,18500
2021-02-02,4.140000,4.140000,3.960000,3.990000,3.990000,12500
2021-02-03,3.990000,4.010000,3.900000,3.930000,3.930000,3300
2021-02-04,4.010000,4.030000,4.000000,4.030000,4.030000,1100
2021-02-05,4.090000,4.140000,4.050000,4.050000,4.050000,1400
2021-02-08,4.080000,4.110000,4.050000,4.100000,4.100000,2700
2021-02-09,4.110000,4.110000,4.010000,4.030000,4.030000,11400
2021-02-10,4.130000,4.130000,4.050000,4.070000,4.070000,33800
2021-02-11,4.090000,4.090000,4.090000,4.090000,4.090000,700
2021-02-12,4.330000,4.330000,4.280000,4.290000,4.290000,18200
2021-02-16,4.330000,4.330000,4.310000,4.310000,4.310000,2400
2021-02-17,4.330000,4.450000,4.330000,4.390000,4.390000,25200
2021-02-18,4.410000,4.410000,4.270000,4.300000,4.300000,4000
2021-02-19,4.310000,4.310000,4.300000,4.300000,4.300000,2800
2021-02-22,4.420000,4.420000,4.420000,4.420000,4.420000,300
2021-02-23,4.310000,4.450000,4.310000,4.400000,4.400000,1600
2021-02-24,4.430000,4.430000,4.370000,4.370000,4.370000,600
2021-02-25,4.290000,4.290000,4.250000,4.290000,4.290000,2100
2021-02-26,4.290000,4.300000,4.100000,4.300000,4.300000,1000
2021-03-01,4.350000,4.350000,4.130000,4.130000,4.130000,1800
2021-03-02,4.130000,4.180000,4.130000,4.180000,4.180000,1100
2021-03-03,4.020000,4.040000,4.020000,4.040000,4.040000,1300
2021-03-04,4.030000,4.040000,4.010000,4.040000,4.040000,10000
2021-03-05,3.990000,4.000000,3.980000,3.980000,3.980000,1300
2021-03-08,4.000000,4.040000,4.000000,4.030000,4.030000,600
2021-03-09,4.000000,4.020000,4.000000,4.020000,4.020000,600
2021-03-10,4.000000,4.000000,3.980000,4.000000,4.000000,2600
2021-03-11,4.000000,4.000000,4.000000,4.000000,4.000000,1400
2021-03-12,4.040000,4.040000,3.930000,3.930000,3.930000,400
2021-03-15,4.050000,4.050000,4.040000,4.040000,4.040000,1400
2021-03-16,3.960000,4.010000,3.950000,4.010000,4.010000,1100
2021-03-17,4.010000,4.080000,4.010000,4.080000,4.080000,2500
2021-03-18,4.100000,4.100000,4.100000,4.100000,4.100000,400
2021-03-19,4.030000,4.130000,3.950000,3.950000,3.950000,10100
2021-03-22,4.020000,4.050000,4.010000,4.050000,4.050000,6400
2021-03-23,4.050000,4.050000,4.050000,4.050000,4.050000,0
2021-03-24,3.930000,4.070000,3.930000,4.070000,4.070000,3700
2021-03-25,4.060000,4.060000,4.060000,4.060000,4.060000,700
2021-03-26,4.160000,4.230000,4.100000,4.130000,4.130000,1800
2021-03-29,4.200000,4.200000,4.150000,4.150000,4.150000,600
2021-03-30,4.150000,4.150000,4.150000,4.150000,4.150000,0
2021-03-31,4.050000,4.050000,4.050000,4.050000,4.050000,300
2021-04-01,3.980000,3.980000,3.930000,3.930000,3.930000,900
2021-04-05,3.920000,3.920000,3.890000,3.890000,3.890000,700
2021-04-06,3.800000,3.800000,3.670000,3.670000,3.670000,3600
2021-04-07,3.820000,3.820000,3.750000,3.800000,3.800000,5600
2021-04-08,3.910000,3.910000,3.840000,3.910000,3.910000,1100
2021-04-09,3.910000,3.910000,3.910000,3.910000,3.910000,2000
2021-04-12,4.000000,4.000000,4.000000,4.000000,4.000000,500
2021-04-13,4.020000,4.020000,4.000000,4.000000,4.000000,400
2021-04-14,3.990000,4.000000,3.970000,4.000000,4.000000,5600
2021-04-15,3.930000,3.930000,3.890000,3.890000,3.890000,1000
2021-04-16,3.980000,3.980000,3.900000,3.900000,3.900000,500
2021-04-19,3.950000,3.950000,3.840000,3.840000,3.840000,600
2021-04-20,3.800000,3.800000,3.730000,3.730000,3.730000,1900
2021-04-21,3.650000,3.660000,3.560000,3.660000,3.660000,2300
2021-04-22,3.700000,3.700000,3.700000,3.700000,3.700000,300
2021-04-23,3.700000,3.750000,3.700000,3.740000,3.740000,600
2021-04-26,3.540000,3.540000,3.540000,3.540000,3.540000,300
2021-04-27,3.580000,3.850000,3.580000,3.850000,3.850000,400
2021-04-28,3.740000,3.740000,3.680000,3.680000,3.680000,18300
2021-04-29,3.680000,3.680000,3.680000,3.680000,3.680000,0
2021-04-30,3.580000,3.670000,3.570000,3.600000,3.600000,6000
2021-05-03,3.630000,3.750000,3.630000,3.750000,3.750000,400
2021-05-04,3.640000,3.640000,3.630000,3.630000,3.630000,800
2021-05-05,3.630000,3.630000,3.630000,3.630000,3.630000,0
2021-05-06,3.610000,3.610000,3.610000,3.610000,3.610000,500
2021-05-07,3.680000,3.680000,3.680000,3.680000,3.680000,500
2021-05-10,3.820000,3.820000,3.690000,3.690000,3.690000,300
2021-05-11,3.650000,3.650000,3.650000,3.650000,3.650000,200
2021-05-12,3.640000,3.640000,3.590000,3.590000,3.590000,900
2021-05-13,3.380000,3.380000,3.220000,3.320000,3.320000,5800
2021-05-14,3.330000,3.330000,3.160000,3.300000,3.300000,6600
2021-05-17,3.110000,3.240000,3.110000,3.240000,3.240000,1500
